freq,unit,age,geo\TIME_PERIOD	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,THS_PER,Y15-34,CY	3.6 e	4.1 be	4.3 e	5.4 e	4.8 e	4.2 be	4.2 e	4.1 be	4.8 e	4.5 e	4.3 e	4.4 e	4.4 e	4.9 	5.2 e	4.6 e	5.0 	7.5 b	9.8 e
A,THS_PER,Y15-34,CZ	77.2 e	83.0 be	92.9 e	96.6 e	109.2 e	105.6 e	106.8 be	78.0 b	74.5 e	78.7 	71.1 e	68.9 e	77.9 e	75.2 e	77.6 e	78.9 	76.5 	79.7 b	78.4 
A,THS_PER,Y15-34,DE	443.7 e	474.5 be	470.4 be	490.2 e	516.6 e	523.4 e	549.6 be	437.6 be	490.6 b	508.9 	509.3 	530.1 	553.9 	559.3 	590.2 	618.3 	749.4 b	753.7 b	816.7 
A,THS_PER,Y15-34,DK	34.6 e	39.8 be	41.0 e	40.9 e	43.7 be	41.9 e	37.1 e	30.7 be	32.8 e	35.6 e	32.8 e	33.5 e	38.5 be	41.5 be	45.1 e	48.5 e	48.0 e	57.3 be	63.9 
A,THS_PER,Y15-34,EE	5.7 u	6.3 be	9.5 e	11.1 e	10.7 e	9.6 e	11.1 e	11.2 be	11.4 e	14.2 e	13.3 e	13.4 	15.6 e	17.6 e	19.3 	19.4 	18.8 e	19.1 be	23.9 e
A,THS_PER,Y15-34,EL	59.9 be	59.0 be	58.6 e	61.5 e	59.0 e	60.6 be	59.7 e	28.9 be	25.7 e	26.5 e	23.8 e	21.2 e	23.6 e	25.4 e	27.2 e	23.7 e	24.9 e	28.3 b	35.3 
A,THS_PER,Y15-34,ES	272.1 e	296.0 be	327.1 be	345.0 e	335.1 e	298.3 e	291.8 e	262.8 be	231.6 e	215.0 e	213.6 e	196.0 e	198.3 e	212.2 e	231.0 e	238.9 e	238.7 e	264.0 bd	304.1 d
A,THS_PER,Y15-34,EU27_2020	2451.7 e	2653.3 be	2791.1 e	2840.5 e	2896.7 e	2849.1 e	2782.4 e	2263.2 be	2269.6 e	2315.1 e	2346.1 e	2380.9 e	2477.4 e	2577.3 e	2705.4 e	2863.8 e	3059.7 e	3228.7 be	3439.2 e
A,THS_PER,Y15-34,FI	56.3 e	58.4 be	58.8 e	61.8 be	60.2 be	54.4 e	53.8 e	54.5 be	54.7 	54.0 	47.7 e	46.4 	46.5 	50.8 	52.5 	57.4 	55.4 	60.9 be	65.4 
A,THS_PER,Y15-34,FR	426.7 e	470.6 be	487.5 be	439.1 e	443.7 e	449.9 e	449.9 e	274.0 be	246.9 e	287.1 b	317.7 b	351.6 	350.2 	374.6 	387.5 	447.8 	443.0 e	457.7 bd	441.3 d
